,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
111,11500000000.0,-3.808356850E+01,-1.758920757E+01,11600000000.0,-3.663253428E+01,-1.312934912E+02,11700000000.0,"-3.968330681E+01
","1.293131246E+02
"
112,11500000000.0,-5.933899769E+01,-4.274867559E+00,11600000000.0,-5.942684667E+01,-1.121227100E+02,11700000000.0,"-6.101589159E+01
","1.463895314E+02
"
113,11500000000.0,-3.681757677E+01,1.066919547E+01,11600000000.0,-3.563369951E+01,-1.070509687E+02,11700000000.0,"-3.669997959E+01
","1.530363951E+02
"
114,11500000000.0,-3.533454199E+01,8.799416103E+00,11600000000.0,-3.442954984E+01,-1.074064102E+02,11700000000.0,"-3.678003561E+01
","1.501990857E+02
"
115,11500000000.0,-3.486583384E+01,-3.441273228E+00,11600000000.0,-3.326920062E+01,-1.237719383E+02,11700000000.0,"-3.483403369E+01
","1.435542409E+02
"
116,11500000000.0,-3.457819938E+01,-2.108748201E+01,11600000000.0,-3.264999834E+01,-1.382750906E+02,11700000000.0,"-3.429898528E+01
","1.261713325E+02
"
117,11500000000.0,-3.553531243E+01,-1.497420326E+01,11600000000.0,-3.306221375E+01,-1.309811912E+02,11700000000.0,"-3.441306580E+01
","1.295497050E+02
"
118,11500000000.0,-3.552309496E+01,7.871459792E-01,11600000000.0,-3.373094274E+01,-1.212541764E+02,11700000000.0,"-3.536488028E+01
","1.399468329E+02
"
119,11500000000.0,-3.694960637E+01,-1.246553009E+01,11600000000.0,-3.475401243E+01,-1.255028295E+02,11700000000.0,"-3.755225697E+01
","1.333206139E+02
"
120,11500000000.0,-3.724539325E+01,-6.410481886E+00,11600000000.0,-3.477413130E+01,-1.254003193E+02,11700000000.0,"-3.643392073E+01
","1.317147153E+02
"
121,11500000000.0,-3.671384943E+01,3.320936560E+00,11600000000.0,-3.440613442E+01,-1.141336905E+02,11700000000.0,"-3.649354775E+01
","1.465109030E+02
"
122,11500000000.0,-3.706889419E+01,-5.061845790E+00,11600000000.0,-3.455681101E+01,-1.227323247E+02,11700000000.0,"-3.749066564E+01
","1.362712736E+02
"
123,11500000000.0,-3.493567790E+01,-1.503651599E+01,11600000000.0,-3.321232213E+01,-1.329163409E+02,11700000000.0,"-3.500634185E+01
","1.268321074E+02
"
124,11500000000.0,-3.293873042E+01,-1.654222084E+01,11600000000.0,-3.092933040E+01,-1.316176538E+02,11700000000.0,"-3.363714570E+01
","1.316608789E+02
"
125,11500000000.0,-3.473633406E+01,-1.579681333E+01,11600000000.0,-3.270236937E+01,-1.296034777E+02,11700000000.0,"-3.456950824E+01
","1.359093170E+02
"
126,11500000000.0,-3.712259992E+01,-6.334204950E+00,11600000000.0,-3.503023519E+01,-1.227594812E+02,11700000000.0,"-3.786766143E+01
","1.420229003E+02
"
127,11500000000.0,-3.958576607E+01,-5.528307853E+00,11600000000.0,-3.810264823E+01,-1.231652115E+02,11700000000.0,"-4.006704741E+01
","1.353813618E+02
"
128,11500000000.0,-4.231441668E+01,4.520125641E+01,11600000000.0,-4.100746634E+01,3.243330842E+01,11700000000.0,"-4.314086470E+01
","-4.418400522E+01
"
129,11500000000.0,-3.838741236E+01,4.857588559E+00,11600000000.0,-3.683434556E+01,-1.078162082E+02,11700000000.0,"-3.868468590E+01
","1.538850743E+02
"
130,11500000000.0,-3.592393707E+01,1.432221395E+00,11600000000.0,-3.408312810E+01,-1.108703193E+02,11700000000.0,"-3.562444516E+01
","1.516727643E+02
"
131,11500000000.0,-3.422141555E+01,-5.296137696E+00,11600000000.0,-3.197450214E+01,-1.216804926E+02,11700000000.0,"-3.468323046E+01
","1.434246461E+02
"
132,11500000000.0,-3.449603290E+01,-1.121506298E+01,11600000000.0,-3.258137370E+01,-1.337783570E+02,11700000000.0,"-3.429185707E+01
","1.337619886E+02
"
133,11500000000.0,-3.592117587E+01,-1.501923845E+01,11600000000.0,-3.326097194E+01,-1.340931929E+02,11700000000.0,"-3.583665597E+01
","1.294962501E+02
"
134,11500000000.0,-3.589255241E+01,-5.264449727E+01,11600000000.0,-3.397502450E+01,-1.691349515E+02,11700000000.0,"-3.620838474E+01
","8.906270057E+01
"
135,11500000000.0,-3.593332054E+01,-3.997108077E+00,11600000000.0,-3.365349557E+01,-1.244779768E+02,11700000000.0,"-3.529269744E+01
","1.347151204E+02
"
136,11500000000.0,-3.522676825E+01,-1.089357541E+01,11600000000.0,-3.331297204E+01,-1.275745318E+02,11700000000.0,"-3.595363220E+01
","1.316398842E+02
"
137,11500000000.0,-3.627602889E+01,1.811069735E-01,11600000000.0,-3.413643258E+01,-1.222518105E+02,11700000000.0,"-3.581569106E+01
","1.398959346E+02
"
138,11500000000.0,-3.773772550E+01,-6.768379301E+00,11600000000.0,-3.514663676E+01,-1.198568904E+02,11700000000.0,"-3.718417857E+01
","1.394124448E+02
"
139,11500000000.0,-3.560198175E+01,-9.333213238E+00,11600000000.0,-3.342380016E+01,-1.267555893E+02,11700000000.0,"-3.517778592E+01
","1.326430775E+02
"
140,11500000000.0,-3.486302420E+01,6.764044622E-01,11600000000.0,-3.245043938E+01,-1.158430149E+02,11700000000.0,"-3.417363672E+01
","1.454861062E+02
"
141,11500000000.0,-3.512181143E+01,8.615969412E+00,11600000000.0,-3.411171460E+01,-1.075187928E+02,11700000000.0,"-3.537727205E+01
","1.523105985E+02
"
142,11500000000.0,-3.702400487E+01,1.128854186E+01,11600000000.0,-3.468693720E+01,-1.084832633E+02,11700000000.0,"-3.607054470E+01
","1.560479111E+02
"
143,11500000000.0,-3.905367320E+01,-4.848313393E+00,11600000000.0,-3.816149180E+01,-1.091151059E+02,11700000000.0,"-3.989655167E+01
","1.444269927E+02
"
144,11500000000.0,-4.042614204E+01,-1.018297709E+01,11600000000.0,-3.919895130E+01,-1.225213966E+02,11700000000.0,"-4.102714915E+01
","1.296108733E+02
"
145,11500000000.0,-3.609094398E+01,-8.535684935E+00,11600000000.0,-3.475055336E+01,-1.317005762E+02,11700000000.0,"-3.620184644E+01
","1.289182217E+02
"
146,11500000000.0,-3.365358667E+01,-4.287900601E+00,11600000000.0,-3.128767685E+01,-1.214214552E+02,11700000000.0,"-3.360962306E+01
","1.436236342E+02
"
147,11500000000.0,-3.329693340E+01,2.551716493E+00,11600000000.0,-3.204121410E+01,-1.112039274E+02,11700000000.0,"-3.390601034E+01
","1.435628898E+02
"
